,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
271,2018년 09월29일 (토),20.2,27,14.6,-,-,1,56,0.4,10.8,맑음
272,2018년 09월30일 (일),17.6,21.6,14,-,-,2.1,53,0.6,10.4,맑음
273,2018년 10월01일 (월),15.4,19.7,13,0,-,2.8,55,4.5,7.9,구름조금/비
274,2018년 10월02일 (화),15.9,22,10.3,-,-,1.6,61,0.5,10.8,맑음
275,2018년 10월03일 (수),17.3,24.2,11.2,-,-,1.2,58,0,10.6,맑음
276,2018년 10월04일 (목),19.3,25.6,13,-,-,1.3,57,6.5,8.9,구름많음
277,2018년 10월05일 (금),16.9,19,15.7,36.5,-,1.8,84,9.8,0,흐림/비
278,2018년 10월06일 (토),18,21.7,16.3,55.5,-,2.1,84,7.5,3,구름많음/비
279,2018년 10월07일 (일),16.4,21.1,12.3,-,-,1.7,54,2.9,10.5,구름조금/안개
280,2018년 10월08일 (월),14.8,20.9,9.2,-,-,1.1,47,4.4,10.5,구름조금
281,2018년 10월09일 (화),15.3,19.8,10.7,0,-,1.2,53,9,2.3,흐림/비
282,2018년 10월10일 (수),12,16.7,7.9,7,-,2.4,61,6.8,6.5,구름많음/비/안개
283,2018년 10월11일 (목),9.7,13.9,6.1,-,-,2.2,51,1.4,9.3,맑음
284,2018년 10월12일 (금),10.9,17.4,5.2,-,-,1.2,54,0,10.1,맑음
285,2018년 10월13일 (토),12.5,19.8,6.1,-,-,1,54,0,10,맑음/안개
286,2018년 10월14일 (일),13.2,20.3,6.8,-,-,1.4,60,3.4,9.9,구름조금/안개
287,2018년 10월15일 (월),15.2,21,10.9,-,-,1.3,70,4,6.8,구름조금/안개
288,2018년 10월16일 (화),14.5,20.3,9.9,-,-,1.2,56,5.6,8.2,구름많음
289,2018년 10월17일 (수),12.4,18.6,8.4,-,-,1.2,53,0,10,맑음/안개
290,2018년 10월18일 (목),12.7,19,7.5,-,-,1.2,60,3.1,8.1,구름조금/비
291,2018년 10월19일 (금),13.1,20.4,7.2,-,-,1.5,54,0,9.9,맑음
292,2018년 10월20일 (토),13.4,21.4,6.9,-,-,1,54,1.1,9.7,맑음/안개
293,2018년 10월21일 (일),13.4,21.1,7.2,-,-,1.1,50,2.4,9.6,구름조금
294,2018년 10월22일 (월),14,20.6,8.8,-,-,1,50,5.2,7.6,구름많음/안개
295,2018년 10월23일 (화),12.2,16.9,9.8,5,-,1.3,75,5.4,5.3,구름많음/비/안개/천둥번개
296,2018년 10월24일 (수),12.5,18.7,7.6,-,-,1.2,66,0.5,9.6,맑음/안개
297,2018년 10월25일 (목),13.8,21.2,7,-,-,1,56,4,8.7,구름조금
298,2018년 10월26일 (금),12.2,14.7,9.9,11,-,1.8,74,7.5,2.4,구름많음/비
299,2018년 10월27일 (토),8.7,11.6,6.2,-,-,3.3,50,1.6,8,맑음
300,2018년 10월28일 (일),8.3,13.5,5.2,5.5,-,1.4,77,7.2,2.8,구름많음/비/천둥번개
301,2018년 10월29일 (월),7.2,11.7,3.4,0,-,2.1,57,5.9,6.5,구름많음/비
302,2018년 10월30일 (화),6.1,11.6,0.7,0,-,1.5,51,3.2,9.1,구름조금/비
303,2018년 10월31일 (수),7.4,12.6,3,0,-,1.7,55,0.8,9.3,맑음/비
304,2018년 11월01일 (목),8.4,15.2,2.5,-,-,1.2,53,0,9.2,맑음
305,2018년 11월02일 (금),10.6,19,4,-,-,1.1,55,0,9.2,맑음
306,2018년 11월03일 (토),11.2,19.1,5,-,-,1.2,56,0,9.1,맑음/안개
307,2018년 11월04일 (일),11.6,19.4,5.3,-,-,1.4,55,2.1,9,구름조금/안개
308,2018년 11월05일 (월),11.9,18.3,6.6,-,-,1.1,66,5.2,7.9,구름많음/안개
309,2018년 11월06일 (화),12.2,17.5,8,-,-,1,71,6.9,4.1,구름많음/안개
310,2018년 11월07일 (수),12.8,15.7,10.3,2,-,1.1,80,9.9,0.5,흐림/비/안개
311,2018년 11월08일 (목),11.8,14.7,10.5,64,-,1.9,94,10,0,흐림/비
312,2018년 11월09일 (금),12.1,15.4,9.5,1,-,3,69,7.9,6.5,구름많음/비/안개
313,2018년 11월10일 (토),11.9,17.1,8.8,0,-,1.3,69,3.1,8.1,구름조금/안개/이슬비
314,2018년 11월11일 (일),8.1,10.9,5.4,0,-,1,68,6.4,1.4,구름많음/비/안개
315,2018년 11월12일 (월),8.1,15.1,3.1,-,-,1.2,52,0,8.9,맑음
316,2018년 11월13일 (화),8.8,15.4,4.1,-,-,1,52,0.4,8.8,맑음/안개
317,2018년 11월14일 (수),9.8,16.6,4.8,-,-,1.1,56,0.1,8.7,맑음
318,2018년 11월15일 (목),9.7,16.2,4.7,-,-,1,55,4.8,7.8,구름조금/안개
319,2018년 11월16일 (금),8.8,14.5,4.2,-,-,1.8,65,6.5,5.2,구름많음/안개
320,2018년 11월17일 (토),4.9,11.4,0.6,-,-,1.4,51,4.6,5.2,구름조금/안개
321,2018년 11월18일 (일),6.1,10.7,1.9,-,-,1.1,49,6.9,2.4,구름많음
322,2018년 11월19일 (월),6.5,11.3,3.3,-,-,1.4,50,1.9,5.8,맑음/안개
323,2018년 11월20일 (화),6.5,12.7,0,0.2,-,1.8,40,2,8.8,구름조금/비
324,2018년 11월21일 (수),5.8,8.2,3.1,1,-,1.2,57,8.4,0,흐림/비/안개
325,2018년 11월22일 (목),2.3,7.1,-1.3,-,-,2.3,35,0.8,8.6,맑음
326,2018년 11월23일 (금),1.9,7.6,-3.1,-,-,1.4,30,3.1,8.6,구름조금
327,2018년 11월24일 (토),2.6,3.8,0.3,10.9,8.8,1.7,71,9,1.6,흐림/눈/안개/진눈개비
328,2018년 11월25일 (일),4.8,9.8,1.3,-,-,1,78,3.8,6.9,구름조금/안개
329,2018년 11월26일 (월),6.3,13.6,1.6,-,-,1,70,0.6,8.6,맑음/안개
330,2018년 11월27일 (화),7.1,12.5,3.1,-,-,1.4,65,6.1,1.1,구름많음/안개/황사
331,2018년 11월28일 (수),5,11.1,2.1,-,-,1.6,27,3.8,6.8,구름조금/황사
332,2018년 11월29일 (목),3.2,6.7,0.6,0,-,1.2,41,5.8,0.2,구름많음/눈
333,2018년 11월30일 (금),2.7,8,-1.5,-,-,1.4,46,1,8.6,맑음
334,2018년 12월01일 (토),5.5,12.4,0.8,-,-,1,42,3.6,7.8,구름조금
335,2018년 12월02일 (일),8.2,11.8,2.8,-,-,1.3,50,6.5,2.7,구름많음
336,2018년 12월03일 (월),11.5,13.5,9.3,9.5,-,1.4,87,9.9,0,흐림/비/안개/이슬비
337,2018년 12월04일 (화),6.7,11.8,-0.3,5,-,2.6,75,7.8,2.1,구름많음/비/안개/이슬비
338,2018년 12월05일 (수),0,3.4,-4.3,-,-,1.5,40,6.4,3.1,구름많음
339,2018년 12월06일 (목),2.4,6.8,-1,0,-,2.3,51,8.1,6.2,흐림/눈
340,2018년 12월07일 (금),-7.3,-1.1,-9.6,-,-,3.8,37,1.1,8.7,맑음
341,2018년 12월08일 (토),-8.3,-4.4,-11.4,-,-,2.5,37,1.4,8.7,맑음
342,2018년 12월09일 (일),-7.2,-2.1,-11.8,-,-,1.6,27,2,7.8,구름조금
343,2018년 12월10일 (월),-2.5,4.6,-8.1,-,-,0.9,33,3,8,구름조금
344,2018년 12월11일 (화),0.2,2.9,-2.4,-,-,1.2,45,7.9,0.1,구름많음/안개
345,2018년 12월12일 (수),-1.9,2.4,-5,-,-,2.1,39,0,8.7,맑음/안개
346,2018년 12월13일 (목),-2.2,2.1,-5.9,1.3,1.7,1.9,57,5,4.8,구름많음/눈/안개
347,2018년 12월14일 (금),-4.4,0.6,-7.8,-,-,1.7,44,0,8.7,맑음
348,2018년 12월15일 (토),-2.5,3.2,-7.8,-,-,1.1,47,3.6,8,구름조금/안개
349,2018년 12월16일 (일),0,2.1,-2.6,0.3,0.4,0.9,64,9.2,1.1,흐림/눈/안개/우박
350,2018년 12월17일 (월),1.6,5.9,-1.5,0.3,-,1.9,60,1.2,8.3,맑음/소낙눈/안개
351,2018년 12월18일 (화),2.6,7.4,-2.8,-,-,1.4,56,3,7.2,구름조금/안개
352,2018년 12월19일 (수),4,9.5,1.3,-,-,1.4,53,2.9,7.8,구름조금/안개
353,2018년 12월20일 (목),3.4,10.4,-1.1,-,-,0.9,46,3.1,7.5,구름조금/안개
354,2018년 12월21일 (금),5.6,9.8,0.4,-,-,1.1,40,8.5,3.2,흐림/안개
355,2018년 12월22일 (토),6.9,12.4,2.9,-,-,1.4,49,4.2,7.8,구름조금/안개
356,2018년 12월23일 (일),2.4,7.5,-3.4,-,-,2.9,43,2.6,8.3,구름조금/안개
357,2018년 12월24일 (월),-2.3,3.1,-5.9,-,-,1.7,36,0.2,8.8,맑음
358,2018년 12월25일 (화),0.6,5.2,-4,-,-,1.3,53,7.4,3.1,구름많음
359,2018년 12월26일 (수),-1.6,3,-7.1,-,-,2.9,41,4.4,8.3,구름조금/안개
360,2018년 12월27일 (목),-10.1,-6.5,-12.5,-,-,3.6,28,0.5,8.7,맑음
361,2018년 12월28일 (금),-10.5,-6.6,-14.4,-,-,2.6,33,0.6,8.7,맑음
362,2018년 12월29일 (토),-7.6,-3,-10.5,-,-,2.7,29,0,8.7,맑음
363,2018년 12월30일 (일),-6.9,-0.9,-11.3,-,-,1.3,36,0.8,8.7,맑음
364,2018년 12월31일 (월),,,,,,,,,,
