,날짜,평균  기온,최고  기온,최저  기온,강수량(mm),신적설(cm),평균  풍속(m/s),평균  습도  (%),운량(1/10),일조  시간  (Hr),날씨
260,2017년 09월18일 (월),21.9,27.6,16.4,-,-,2.0,63,1.8,11.4,맑음
261,2017년 09월19일 (화),22.6,25.8,20.1,8.0,-,3.2,79,7.9,2.1,구름많음/안개/천둥번개/비
262,2017년 09월20일 (수),19.5,24.9,14.1,-,-,2.3,49,0.8,11.6,맑음
263,2017년 09월21일 (목),20.3,27.0,14.2,-,-,1.6,57,0.5,11.5,맑음
264,2017년 09월22일 (금),20.6,26.8,15.4,-,-,2.1,61,3.5,11.0,구름조금/안개
265,2017년 09월23일 (토),21.8,27.3,17.6,0.0,-,1.6,70,6.6,7.3,구름많음/비/안개
266,2017년 09월24일 (일),22.4,27.9,18.8,0.0,-,1.9,72,6.9,5.4,구름많음/비/안개
267,2017년 09월25일 (월),23.4,30.1,17.4,-,-,1.3,58,2.5,10.4,구름조금/안개
268,2017년 09월26일 (화),25.1,31.4,19.4,0.0,-,1.8,57,4.9,8.7,구름조금/비
269,2017년 09월27일 (수),22.7,27.3,19.9,0.5,-,2.0,66,8.8,0.0,흐림/비/안개
270,2017년 09월28일 (목),19.2,25.3,14.2,-,-,2.8,49,2.5,2.0,구름조금
271,2017년 09월29일 (금),17.4,23.5,11.2,-,-,2.1,39,3.1,10.5,구름조금
272,2017년 09월30일 (토),20.0,25.9,14.7,-,-,1.5,65,3.5,5.8,구름조금/안개
273,2017년 10월01일 (일),18.1,21.2,15.5,4.0,-,2.4,75,8.9,0.6,흐림/비/안개
274,2017년 10월02일 (월),22.0,29.4,15.6,1.5,-,2.4,62,2.6,10.2,구름조금/비
275,2017년 10월03일 (화),17.6,23.6,13.4,-,-,2.3,50,5.8,6.7,구름많음
276,2017년 10월04일 (수),16.7,24.3,10.7,-,-,1.8,49,6.6,8.5,구름많음
277,2017년 10월05일 (목),18.6,23.4,13.9,-,-,2.1,56,8.0,6.4,흐림
278,2017년 10월06일 (금),18.9,23.3,16.2,0.5,-,2.4,66,8.5,4.6,흐림/비
279,2017년 10월07일 (토),21.9,28.8,16.9,0.0,-,1.1,68,7.5,6.2,구름많음/비
280,2017년 10월08일 (일),23.0,28.7,19.3,-,-,1.5,67,4.8,10.0,구름조금
281,2017년 10월09일 (월),22.5,27.6,19.8,0.0,-,1.5,66,6.5,6.5,구름많음/비/안개
282,2017년 10월10일 (화),21.4,24.8,18.6,0.4,-,1.2,77,9.2,1.0,흐림/비/안개
283,2017년 10월11일 (수),15.5,21.7,12.2,20.0,-,3.0,77,9.2,1.9,흐림/비
284,2017년 10월12일 (목),11.3,13.8,8.8,-,-,2.0,70,7.1,0.0,구름많음
285,2017년 10월13일 (금),12.8,18.9,6.1,-,-,3.2,51,3.4,9.6,구름조금
286,2017년 10월14일 (토),14.4,20.5,9.0,-,-,1.5,43,4.9,10.6,구름조금
287,2017년 10월15일 (일),15.8,23.0,9.0,-,-,1.8,43,5.4,9.3,구름많음
288,2017년 10월16일 (월),16.6,22.0,13.6,-,-,1.8,48,7.9,5.3,구름많음
289,2017년 10월17일 (화),16.2,23.9,9.2,-,-,1.5,47,0.4,10.3,맑음
290,2017년 10월18일 (수),16.5,19.1,14.2,0.1,-,2.4,59,9.2,0.3,흐림/비
291,2017년 10월19일 (목),17.0,23.2,11.9,-,-,1.9,58,3.8,9.2,구름조금
292,2017년 10월20일 (금),17.0,24.2,11.1,-,-,1.5,59,0.1,10.1,맑음
293,2017년 10월21일 (토),17.6,25.2,11.0,-,-,1.3,53,0.0,10.1,맑음/안개
294,2017년 10월22일 (일),16.3,23.5,11.0,-,-,3.4,50,1.8,9.6,맑음
295,2017년 10월23일 (월),13.7,20.6,8.6,-,-,1.3,47,0.0,10.1,맑음
296,2017년 10월24일 (화),14.4,20.9,9.9,-,-,1.9,54,3.0,8.2,구름조금
297,2017년 10월25일 (수),14.4,20.6,9.5,-,-,1.5,59,2.9,9.5,구름조금/안개
298,2017년 10월26일 (목),14.5,18.1,10.7,-,-,1.3,57,8.6,1.8,흐림/안개
299,2017년 10월27일 (금),16.9,24.2,11.9,-,-,1.3,54,1.9,9.7,맑음/안개
300,2017년 10월28일 (토),17.2,24.8,10.6,-,-,2.0,52,0.1,9.8,맑음
301,2017년 10월29일 (일),11.5,17.2,6.3,-,-,3.3,46,0.0,7.3,맑음/안개
302,2017년 10월30일 (월),7.7,13.2,2.5,-,-,2.2,27,0.0,9.8,맑음
303,2017년 10월31일 (화),10.4,16.0,3.6,-,-,1.8,54,1.8,9.5,맑음
304,2017년 11월01일 (수),14.4,18.1,11.5,-,-,2.1,72,8.5,2.0,흐림/안개
305,2017년 11월02일 (목),15.5,18.0,14.0,1.0,-,1.8,79,8.8,1.2,흐림/비/안개
306,2017년 11월03일 (금),12.3,16.6,6.1,1.5,-,3.2,66,5.6,5.9,구름많음/비/안개
307,2017년 11월04일 (토),7.8,13.7,4.5,-,-,2.5,48,2.4,9.6,구름조금/안개
308,2017년 11월05일 (일),8.4,15.4,2.6,-,-,1.4,53,3.2,6.5,구름조금/안개
309,2017년 11월06일 (월),11.4,16.5,8.0,-,-,1.6,65,5.5,5.9,구름많음/안개
310,2017년 11월07일 (화),14.4,18.4,9.2,0.0,-,1.5,61,9.1,3.3,흐림/비/안개
311,2017년 11월08일 (수),13.1,17.2,6.9,0.0,-,2.8,53,3.9,8.0,구름조금/비/안개/황사
312,2017년 11월09일 (목),9.4,16.8,3.7,-,-,1.2,40,0.0,9.3,맑음
313,2017년 11월10일 (금),9.8,15.9,5.3,7.5,-,2.9,56,4.4,1.5,구름조금/비
314,2017년 11월11일 (토),5.9,10.7,2.7,-,-,2.2,43,0.0,8.6,맑음/황사
315,2017년 11월12일 (일),5.3,11.4,0.3,-,-,1.4,57,1.5,8.6,맑음
316,2017년 11월13일 (월),8.4,11.8,3.1,4.5,-,1.9,64,7.9,1.5,구름많음/비/안개
317,2017년 11월14일 (화),7.5,11.4,2.9,-,-,2.5,43,1.9,8.5,맑음
318,2017년 11월15일 (수),3.1,6.5,-1.1,-,-,3.0,38,4.1,8.6,구름조금
319,2017년 11월16일 (목),1.0,6.4,-3.4,-,-,1.4,30,0.0,8.6,맑음
320,2017년 11월17일 (금),3.0,5.8,-1.6,0.0,-,2.3,39,8.5,0.0,흐림/눈/비/안개/진눈개비
321,2017년 11월18일 (토),-2.1,2.6,-4.8,-,-,3.4,39,0.0,8.6,맑음/안개
322,2017년 11월19일 (일),-1.6,3.5,-6.6,-,-,2.3,38,2.8,8.0,구름조금
323,2017년 11월20일 (월),-0.5,4.2,-3.9,0.0,-,1.4,55,3.5,3.8,구름조금/눈/안개
324,2017년 11월21일 (화),1.3,8.1,-4.2,-,-,1.4,56,1.1,8.5,맑음/안개
325,2017년 11월22일 (수),4.3,10.8,0.6,0.5,-,2.4,55,5.1,5.5,구름많음/비/안개/황사
326,2017년 11월23일 (목),0.9,4.7,-2.5,1.2,1.5,2.1,49,4.8,6.8,구름조금/눈
327,2017년 11월24일 (금),-0.4,2.9,-2.5,0.0,-,1.7,63,3.2,7.9,구름조금/눈
328,2017년 11월25일 (토),3.0,7.3,-3.3,24.0,-,1.8,78,7.5,2.4,구름많음/눈/비/안개/진눈개비/천둥번개
329,2017년 11월26일 (일),3.3,7.6,-0.3,-,-,1.9,72,4.2,6.8,구름조금/안개
330,2017년 11월27일 (월),2.5,9.5,-2.9,-,-,1.3,53,0.9,7.5,맑음
331,2017년 11월28일 (화),6.4,11.2,1.3,0.5,-,1.1,64,8.4,3.4,흐림/비/안개
332,2017년 11월29일 (수),3.2,8.1,-1.8,0.0,-,2.8,48,5.4,8.4,구름많음/비/안개
333,2017년 11월30일 (목),-2.4,2.7,-5.2,-,-,3.4,27,2.0,2.2,구름조금
334,2017년 12월01일 (금),-2.2,3.1,-7.6,0.0,-,1.5,49,2.2,6.1,구름조금/눈/안개
335,2017년 12월02일 (토),1.9,8.1,-4.6,-,-,1.7,60,3.8,6.7,구름조금
336,2017년 12월03일 (일),4.9,8.1,3.1,4.0,-,1.6,83,9.0,1.9,흐림/비/안개
337,2017년 12월04일 (월),-1.2,4.5,-6.1,0.1,-,3.5,48,1.4,8.4,맑음/비/안개
338,2017년 12월05일 (화),-4.2,-0.4,-8.2,0.1,0.1,2.4,40,1.6,2.1,맑음/눈
339,2017년 12월06일 (수),0.2,6.0,-4.5,1.2,1.0,1.2,73,7.0,7.7,구름많음/눈/안개/진눈개비
340,2017년 12월07일 (목),0.7,4.6,-3.5,-,-,1.8,65,3.5,7.4,구름조금/안개
341,2017년 12월08일 (금),-3.8,-0.5,-7.1,-,-,1.8,41,2.1,8.5,구름조금
342,2017년 12월09일 (토),-0.5,5.4,-5.6,-,-,1.1,46,2.8,7.4,구름조금
343,2017년 12월10일 (일),1.1,6.7,-2.5,4.1,4.3,2.1,68,7.0,2.6,구름많음/눈/비/안개/진눈개비
344,2017년 12월11일 (월),-7.0,-2.5,-11.0,-,-,3.5,41,0.2,8.6,맑음
345,2017년 12월12일 (화),-9.4,-5.2,-12.3,-,-,2.0,42,0.0,8.6,맑음
346,2017년 12월13일 (수),-8.7,-4.4,-12.0,-,-,1.8,42,0.0,8.6,맑음
347,2017년 12월14일 (목),-6.6,-1.9,-11.2,-,-,0.9,43,5.9,3.2,구름많음
348,2017년 12월15일 (금),-3.1,0.9,-7.5,0.0,-,1.1,53,7.2,0.6,구름많음/눈/안개
349,2017년 12월16일 (토),-5.7,-2.6,-8.1,-,-,2.9,43,0.0,8.6,맑음/안개
350,2017년 12월17일 (일),-6.7,-2.3,-10.8,-,-,1.8,38,1.1,8.6,맑음
351,2017년 12월18일 (월),-1.7,3.3,-5.9,3.4,5.1,1.3,80,6.8,2.7,구름많음/눈/안개
352,2017년 12월19일 (화),-3.9,-1.0,-6.5,-,-,2.1,49,1.0,8.6,맑음
353,2017년 12월20일 (수),-3.9,-0.1,-8.5,0.2,0.8,1.1,68,7.1,1.3,구름많음/눈/안개
354,2017년 12월21일 (목),-0.9,4.6,-5.6,-,-,1.2,71,0.4,8.6,맑음/안개
355,2017년 12월22일 (금),3.4,6.6,-1.9,-,-,1.1,67,8.4,3.1,흐림/안개
356,2017년 12월23일 (토),6.1,8.7,5.0,-,-,1.1,76,8.0,3.9,흐림/안개
357,2017년 12월24일 (일),2.9,5.7,-0.6,20.0,-,1.9,82,6.6,0.0,구름많음/비/안개
358,2017년 12월25일 (월),-2.1,0.6,-4.9,-,-,2.6,43,2.1,8.9,구름조금
359,2017년 12월26일 (화),-3.8,-1.1,-7.9,-,-,2.9,42,0.2,8.6,맑음
360,2017년 12월27일 (수),-6.9,-2.6,-10.3,-,-,1.9,31,0.0,8.9,맑음
361,2017년 12월28일 (목),-2.1,0.8,-6.8,0.0,-,1.3,47,8.5,3.3,흐림/눈/안개
362,2017년 12월29일 (금),2.1,6.0,-0.4,0.0,-,1.2,67,4.6,4.1,구름조금/눈/안개
363,2017년 12월30일 (토),1.4,4.5,-1.2,0.7,0.2,1.0,80,9.2,0.0,흐림/눈/비/안개/진눈개비
364,2017년 12월31일 (일),-0.3,3.3,-3.2,1.0,1.0,2.3,54,1.9,8.5,맑음/눈/안개
