날짜,년,월,일,시간,경보발령단계,경보발령제목,경보발령내용
2011-12-16,2011,12,16,1635,1단계,[테스트]기상예보에 따른 제설대책 1단계근무 지시,"             1. 2011. 12. 16. 16:00  기상청 일기예보에 의하면  내일 0시 이후 서울지방 강수확률이 60, 기온이 -1℃이며 예상적설량이 1~4cm로 예보되어 2011-12-16 16:35부로 제설대책 1단계 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2011-12-16, 차수-2)에 16:35까지 입력하시기 바랍니다.    끝."
2011-12-05,2011,12,5,2100,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2011. 12. 05.(월) 20:00현재 기상청 예보에 의하면 금일 24:00이후 기온2℃ 강수확률 30%로 예보되고 있어 2011.12.05(월) 21:00부로 제설대책 보강근무를 지시하니 각 제설기관 및 관련부서에서는 상황근무 등 제설대책 근무에 철저를 기하여 주시기 바랍니다.

※ 제설현장관리시스템에 23:00까지 근무자 현황을 입력하여 주시기 바랍니다. 끝."
2011-12-28,2011,12,28,0,보강,제설대책 보강근무 지시,"             1. 2011. 12. 27. 23:00  기상청 일기예보에 따라 2011-12-28 00:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 금일 제설근무 상황을 제설정보시스템 02:00까지 입력하시기 바랍니다.    끝."
2011-12-28,2011,12,28,2340,발령해제,제설대책 보강근무 해제,"1. 금일(12월 28일) 23:30 기상청 일기예보에 의하면 내일 00:00 이후 서울지방 강수확률 20%, 기온 -3℃로 예보되어 2011.12.29(목) 00:00시부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,

2. 금일 내린 눈으로 인하여 노면 결빙이 우려되는 지역은 특별순찰을 실시하여 시민통행에 불편이 없도록 조치하여 주시기 바랍니다.  끝."
2012-01-01,2012,1,1,600,발령해제,제설대책 보강근무 해제," 1. 금일 05:00 기상청 일기예보에 의하면 06:00 이후 서울지방 강수확률 10%, 기온 -1.0℃로 예보되어 2012.01.01(일) 06:00시부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평시 상황근무 유지에 철저를 기하시기 바랍니다.

 ※ 제설대책 비상근무에 수고하셨습니다. 새해 복 많이 받으십시오.  끝.           "
2012-01-01,2012,1,1,930,보강,기상예보에 따른 제설대책 보강근무 지시,"         1. 금일 09:30현재 문산 및 서울 일부 지역에 산발적으로 눈발이 날리고 있어  2012.1.1(일) 09:30부로 제설대책 보강근무를 지시하니, 각 제설기관에서 단계근무요령에 따라 제설대책에 임하여 주시기 바랍니다. 

          ※ 기관별 근무현황을 “제설현장관리시스템”에 입력하여 주시기 바랍니다. 끝. 



"
2012-01-03,2012,1,3,615,보강,기상예보에 따른 제설대책 보강근무 지시,"          1. 금일 05:00 현재 기상청 일기예보에 의하면 2012. 01. 03(화) 09:00시 이후 강수확률이 30%이며 기온 -4℃ (적설량 1㎝미만)로 예보되어 2012.01.03(화) 06:00부로 제설대책 보강근무를 지시하니 각 제설기관 및 부서에서는  초동 제설대책에 임할 수 있도록 조치하여 주시기 바라며,



           2. 강설시는 한강교량, 램프, 고가도로, 고갯길 등 취약지역 및 대중교통 소통노선부터 우선 제설이 이루어 질 수 있도록 제설 대책에 만전을 기하여 주시기   바랍니다.

 ※제설현장관리시스템 입력대상 부서에서는 08:10까지 근무현황 입력바랍니다.  끝.

"
2012-01-03,2012,1,3,2100,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2012. 01. 03. 20:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 -5℃로 예보되어 2012-01-03 21:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-01-12,2012,1,12,1200,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 01. 12. 11:00  기상청 일기예보에 따라 2012-01-12 12:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (14:00까지 입력하시기 바랍니다.    끝."
2012-01-19,2012,1,19,2055,발령해제,[테스트]제설작업 근무 해제(평상시근무로 전환),             1. 2012. 01. 19. 20:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2012-01-19 20:55부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-01-24,2012,1,24,2250,1단계,제설대책 1단계 근무로 상향지시," 1. 금일 22:50 현재 서해안 지역에서 발달한 눈 구름대가 접근하면서 서울 일부지역에 눈이 내리고 있으며, 앞으로도 계속해서 산발적으로 눈이 올 것으로 예상되므로 2012.1.24(화) 15:00부로 발령된 제설대책 보강근무를 2012.1.24(화) 22:50부로 제설대책 1단계근무로 상향 지시하니,



 2. 각 제설기관에서는 가용중인 제설차량에 제설제를 상차하여 주요간선도로, 램프, 언덕길 등 취약지점에 현장출동 하여 사전살포 등 조치하여 주시고 대중교통 노선부터 우선 제설이 이루어 질 수 있도록 조치하시기 바랍니다.



 *제설정보시스템에 근무현황을 2012.1.25 00:00까지 입력하여 주시기 바랍니다.   끝.         "
2012-01-25,2012,1,25,2040,보강,제설대책 보강 근무지시," 1. 2012. 01. 25(수) 20:00현재 기상청 예보에 의하면 금일 24:00시 이후 강수  확률 30, 기온 -7℃, 예상적설량 1cm미만으로 예보되어 2012.01.25(수) 21:00시부로 제설대책 보강 근무를 지시하니 각 제설기관 및 부서에서는 초동 제설에 임할 수 있도록 조치하여 주시기 바라며, 



 2. 강설시는 한강교량, 램프, 고가도로, 고갯길 등 취약지역 및 대중교통 소통 노선부터 우선 제설이 이루어 질 수 있도록 제설 대책에 만전을 기하여 주시기  바랍니다. 



       ※제설현장관리시스템 입력부서에서는 22:30까지 근무현황을 입력하여 주시기 바랍니다.  끝."
2012-01-27,2012,1,27,635,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 01. 27. 05:00  기상청 일기예보에 따라 2012-01-27 06:00부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2012-01-27, 차수-2)에 07:30까지 입력하시기 바랍니다.    끝."
2012-01-31,2012,1,31,300,보강,제설대책 보강근무 지시 및 2단계 근무 발령예고,"             1. 2012. 01. 31. 01:00  기상청 일기예보에 따라 2012-01-31 06:00시 이후 강수확률 30％, 기온 -6.6℃이며, 09:00 이후는 강수확률 30~80％, 기온 -7℃, 예상적설량 5~9cm로 예보되어 2012.01.31(화) 03:00시부로 제설대책 보강 근무를 지시하며, 



             2. 향후 기상상황에 따라 2단계 근무 발령예고 하오니 각 제설기관 및 부서에서는 초동 제설에 임할 수 있도록 조치하여 주시기 바라며,



             3. 한강교량, 램프, 고가도로, 고갯길 등 취약지역 및 대중교통 노선부터 사전살포 등 우선 제설이 이루어 질 수 있도록 제설대책에 만전을 기하여 주시기 바랍니다.

                   

                  ※  제설현장관리시스템 입력부서에서는  05:00까지 근무현황을 입력하시기 바랍니다.    끝."
2012-11-30,2012,11,30,1735,보강,기상예보에 따른 제설대책 보강근무 지시(2012.11.30),"             1. 2012. 11. 30(금) 17:00  기상청 일기예보에 따라 2012-11-30 17:35부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 취약지역 및 대중교통 노선에 대한 순찰을 실시하여 적설즉시 초동제설이 이루어질수 있도록 비상근무에 만전을 기하여 주시기 바랍니다.



             3. 제설현장관리시스템 입력대상 부서에서는 18:00까지 근무현황 입력바람.    끝."
2012-12-03,2012,12,3,900,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 12. 03. 08:00  기상청 일기예보에 의하면 12:00이후 강수확률 80, 기온 4도 이하로 눈/비가 내리다 오후부터 기온이 내려가 1cm 미만의 눈이 내릴 것으로 예보되고 있어,



             2. 2012.12.03(월) 09:00부로 제설대책 보강근무를 지시하니 각 제설기관에서는 취약지역 및 대중교통 노선에 대한 순찰을 실시하여 적설 즉시 초동제설이 이루어 질 수 있도록 비상근무에 만전을 기하여 주시기 바랍니다.



              ※ 제설현장관리시스템 운영 입력대상 부서에서는 10:00까지 근무현황 입력 바람.    끝."
2012-11-13,2012,11,13,1520,2단계,[훈련상황-2단계지시]기상예보에 따른 제설대책 2단계근무 지시,"             1. 2012. 11. 13. 15:00  기상청 일기예보에 의하면  내일 0시 이후 서울지방 강수확률이 60, 기온이 -3℃이며 예상적설량이 5~10cm로 예보되어 2012-11-13 15:20부로 제설대책 2단계 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2012-11-13, 차수-2)에 15:20까지 입력하시기 바랍니다.    끝."
2012-11-13,2012,11,13,1525,3단계,[훈련상황-근무지시]기상예보에 따른 제설대책 3단계근무 지시,"             1. 2012. 11. 13. 15:00  기상청 일기예보에 의하면  내일 0시 이후 서울지방 강수확률이 60, 기온이 -3℃이며 신적설량이 10cm이상으로 예보되어 2012-11-13 15:25부로 제설대책 3단계 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2012-11-13, 차수-2)에 15:25까지 입력하시기 바랍니다.    끝."
2012-11-13,2012,11,13,1530,보강,[훈련상황]기상예보에 따른 제설대책 보강근무 지시,"             1. 2012. 11. 13. 15:00  기상청 일기예보에 따라 2012-11-13 15:30부로 제설대책 보강 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2012-11-13, 차수-2)에 15:30까지 입력하시기 바랍니다.    끝."
2012-12-04,2012,12,4,2350,발령해제,[훈련]제설작업 근무 해제(평상시근무로 전환),             1. 2012. 12. 05. 00:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2012-12-05 00:10부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-12-05,2012,12,5,0,1단계,기상예보에 따른 제설대책 1단계근무 지시,"             1. 2012. 12. 05. 00:00  기상청 일기예보에 의하면  내일 0시 이후 서울지방 강수확률이 60, 기온이 -1℃이며 예상적설량이 1~4cm로 예보되어 2012-12-05 00:15부로 제설대책 1단계 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.



             3. 또한 금일 제설근무 상황을 제설정보시스템 (상황일 2012-12-05, 차수-2)에 00:15까지 입력하시기 바랍니다.    끝."
2012-12-14,2012,12,14,900,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2012. 12. 14. 18:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2012-12-14 09:00부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-12-20,2012,12,20,2200,보강,기상예보에 따른 제설대책 보강근무 지시,"             1. 2012.12.20(목) 17:00 기상청 예보에 의하면 2012.12.21(금) 03:00이후 강수확률 30 기온 -2℃ 이하 이며, 내일 오전부터 1mm 미만의 눈이 내릴 것으로 예보되고 있어,
             
             2. 2012.12.21(금) 00:00부로 제설대책 보강 근무 발령 하오니 각 제설기관 및 관련부서에서는 제설대책 근무기준에 따라 근무에 임하여 주시기 바라며, 
                 
                특히 도로사업소에서는 내일아침 출근시간에 눈이 내릴 것으로 예보되고 있어 초동제설작업에 필요한 제설장비를 1단계 수준으로 대기 조치하여 주시기 바랍니다. 끝"
2012-12-28,2012,12,28,300,1단계,기상예보에 따른 제설대책 1단계근무 지시,"            1. 2012.12.28(금) 02:00 기상청 예보에 의하면 2012.12.28(금) 06:00이후 강수확률 60 기온 -2℃ 이하 이며 금일 아침 교통이 혼잡한 출근 시간대에 1cm의 눈이 내릴 것으로 예보되고 있어

            2. 2012.12.28(금) 03:00부로 제설대책 1단계 근무 지시 하오니 각 제설기관 및 관련부서에서는 제설대책 근무기준에 따라 근무에 임하여 주시기 바라며, 서해안 지역 강설포착 즉시 제설제 사전살포와 강설즉시 초동제설 작업이 가능하도록 주요지점에 전진배치 하여 주시기 바랍니다.  끝.

"
2012-12-29,2012,12,29,900,1단계,기상예보에 따른 제설대책 1단계근무 지시,"            1. 2012.12.29(토) 08:00 기상청 예보에 의하면 2012.12.29(토) 12:00이후 강수확률 60 기온 2℃ 예상적설량 1~4cm(내일까지 2~7cm)의 눈이 내릴 것으로 예보되고 있어,

            2. 2012.12.29(토) 09:00부로 제설대책 1단계 근무지시  하오니 각 제설기관 및 관련부서에서는 제설대책 근무기준에 따라 근무에 임하여 주시기 바라며 폭설에 대비하여 아래사항을 준수하여 사전준비에 철저를 기하여 주시기 바랍니다.

               - 제설삽날 사전부착(청소차량 등)

               - 제설구역 작업노선별 제설장비 사전배치 준비

               - 전진기지 제설장비 및 자재 사전배치 등.  끝.

    ※ 제설현장관리시스템 입력대상 기관에서는 ‘12.12.29(토) 10:00까지 자원입력바람 

"
2013-01-11,2013,1,11,1800,보강,제설대책 보강근무 및 1단계 근무 지시,"            1. 2013.01.11(금) 17:00 기상청 예보에 의하면 2013.01.11(금) 21:00이후 강수확률 30 기온 -2℃ 이하 이며, 24:00 이후 강수확률 60 예상적설량 1~4cm 눈이 내릴 것으로 예보되고 있어

            2. 2013.01.11(금) 18:00부로 제설대책 보강근무 및 21:00부로 제설대책 1단계 근무를 지시 하오니 각 제설기관 및 관련부서에서는 제설대책 비상기준에 따라 근무에 임하여 주시기 바라며 제설장비 가동 및 자재 배치 여부를 점검하여 강설시 초동제설에 문제가 없도록 사전대비에 철저를 기하여 주시기 바랍니다.  끝.

"
2013-01-15,2013,1,15,2100,보강,기상예보에 따른 제설대책 보강근무 지시,"            1. 2013.01.15(화) 17:00 기상청 예보에 의하면 2013.01.16(수) 00:00이후 강수확률 30, 기온 -3℃ 이하이며, 06:00 이후 강수확률 60 예상적설량 1cm미만의 눈이 내릴 것으로 예보되고 있어



            2. 2013.01.15(화) 21:00부로 제설대책 보강근무를 지시 하오니 각 제설기관 및 관련부서에서는 제설대책 비상근무 기준에 따라 근무에 임하여 주시기 바랍니다.



            3. 아울러 내일 아침 출근시간대에 강설이 예보되고 있으니 만약의 사태에 대비하기 위하여 6개 도로사업소 및 시설관리공단에서는 전 제설차량이 제설작업에 투입될 수 있도록 조치하시기 바랍니다.   



※제설현장관리시스템운영 입력대상 부서에서는 22:00까지 근무현황 입력바람.  끝.

"
2013-01-29,2013,1,29,900,발령해제,제설작업 근무 해제(평상시근무로 전환),"         1. 2013.01.29(화) 08:00 기상청 일기예보에 의하면 09:00 이후 강수확률 20, 기온이 영상 2℃ 이상으로 오를 것으로 예보되어 2013.01.29(화) 09:00부로 제설대책 보강 근무를 해제 하오니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바랍니다.  끝.

"
2013-02-04,2013,2,4,1800,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2013. 02. 05. 12:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2013-02-05 13:05부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2013-02-10,2013,2,10,900,발령해제,제설대책 보강 근무 해제,"            1. 2013.02.10(일) 08:00 기상청 예보에 의하면 09:00이후 강수확률 20 이하로 예보되어 2013.02.10(일) 09:00부로 제설대책 보강 근무를 해제 하오니 평상시 근무체계로 전환하시기 바랍니다.

            2. 아울러 낮은 기온으로 일부지역에 도로결빙이 예상되고 골목길 및 보도 등 취약지역에 쌓인 눈으로 민원이 예상되니, 각 제설기관에서는 24시간 상황근무를 유지하여 시민불편 민원 발생시 즉시 처리 하도록 조치 하시기 바랍니다.  끝. 

"
2013-11-06,2013,11,6,1500,1단계,[훈련메세지]기상예보에 따른 제설대책 1단계근무 지시,"   1. 금일 21:00 기상청 예보에 의하면 강수확률 60, 예상적설량 1~4cm 눈이 내릴 것으로 예보되어 2014.1.1(일) 23:00부로 제설대책 1단계근무를 지시하니, 각 제설기관에서는 제설제를 상차하여 취약지점으로 이동 대기하여 주시기 바랍니다



          ※ 기관별 근무현황을 “제설현장관리시스템”에 입력하여 주시기 바랍니다. 끝. 

"
2013-11-06,2013,11,6,1515,2단계,[훈련메세지]기상예보에 따른 제설대책 2단계근무 상향지시,"         1. 기상청 예보에 의하면 현재 적설량 1cm 이며 예상적설량 5cm이상으로 대설주의보가 발효되어 2014.1.2 02:00부로 제설대책 2단계근무를 지시하니, 각 제설기관에서는 관할구역내 제설제를 살포하여 주시기 바라며, 02:30까지 2단계 투입현황(투입인원, 장비, 자재)을 보고하여 주시기 바랍니다. 끝. 





"
2013-11-18,2013,11,18,1600,보강,제설대책 보강 근무지시 (2013.11.18 16:00),"		1. 2013.11.18.(월) 15:50분 현재 기온 3.1℃이며 강수확률 20이나, 강풍을 동반한 지역별로 눈발이 날리고 있고 금일 늦은밤까지 계속될 것으로 예상되며 밤부터 기온이 큰 폭으로 떨어져 영하권으로 내려갈 것으로 예보되고 있습니다.

		2. 따라서 201311.18(월) 16:00부로 제설대책 보강 근무 지시 하오니 각 제설기관 및 관련부서에서는 제설대책  비상기준에 따라 근무에 임하여 주시기 바랍니다.

※ 제설현장관리시스템 입력대상 기관에서는 2013.11.18(월) 16:30까지 자원입력 바람.  끝."
2013-11-26,2013,11,26,1800,보강,제설대책 보강 근무지시 및 1단계 근무발령 예고(2013.11.26 17:40)," 		1. 2013.11.26(화) 17:00 기상청 발표에 의하면 금일 저녁부터 약한 기압골의 영향으로 가끔 비 또는 눈이 내리고 기온이 낮은 곳은 눈으로 바뀌어 쌓이는 곳이  있고, 내일 새벽부터 눈이 시작되어 아침 출근길 시민불편이 예상되며 오후 늦게까지 3cm 내외의 눈이 내리고 밤부터 기온이 큰 폭으로 떨어져 도로결빙이 우려되고 있습니다.

		2. 따라서 2013.11.26.(화) 18:00부로 제설대책 보강 근무 및 2013.11.26.(화) 22:00부로 제설대책 1단계 근무발령 예고 하니 각 제설기관 및 관련부서에서는 제설대책  비상기준에 따라 근무에 임하여 주시기 바랍니다.

※ 제설현장관리시스템 입력대상 기관에서는 2013.11.26(화) 18:30까지 자원입력 바람.  끝."
2013-11-26,2013,11,26,2200,1단계,제설대책 1단계 근무지시(2013.11.26 22:00),"1. 기상청 발표에 따라 2013.11.26.(화) 22:00부로 제설대책 1단계 근무지시 하오니 각 제설기관 및 관련부서에서는 제설대책  비상기준에 따라 근무에 임하여 주시기 바랍니다.

		2. 아울러 내일 새벽부터 강설이 시작되고 기온이 내려가 눈이 쌓일 것으로 예상되며 도로 미끄럼사고 발생 우려가 있으니 각 제설기관에서는 전 작업노선 차량에 제설제를 상차하여 주요 목지점에 대기 조치하고 필요시 즉각 제설작업에 임할 수 있도록 조치바랍니다.

※ 제설현장관리시스템 입력대상 기관에서는 2013.11.26(화) 22:30까지 자원입력 바람.  끝."
2012-12-03,2012,12,3,1800,발령해제,제설작업 근무 해제(평상시근무로 전환),"         1. 금일 17:00 기상청 일기예보에 의하면 18:00시 이후 서울지방 강수확률 20, 기온 5℃로 예보되어 2012.12.03(월) 18:00시 부로 제설대책 보강근무를 해제하니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며,

          2. 금일 밤부터 찬 대륙고기앞의 영향으로 기온이 큰폭으로 떨어지고 바람이 강하게 불 것으로 예보되고 있으니 각 제설기관에서는 관내 상습결빙 지역에 순찰을 실시하여 교통사고 피해가 없도록 조치하여 주시기 바랍니다.  끝. 

"
2012-12-08,2012,12,8,1300,발령해제,제설작업 근무 해제(평상시근무로 전환),             1. 2012. 12. 13. 11:00  기상청 일기예보에 의하면  서울지방 강수확률은 20 미만이며 기온이 2℃ 이상으로 상승하여 2012-12-13 11:30부로 근무를 해제하니 각 제설 기관 및 관련부서에서는 평상시 근무로 전환하시기 바랍니다.    끝.
2012-12-08,2012,12,8,900,보강,제설대책 1단계 근무 해제 및 보강근무 전환,"            1. 2012.12.08(토) 07:30 현재 기온은 -5℃, 강수확률 20 이하이며 이후 기상전망도 강수확률 20이하로 예보되어 추가 강설은 없을 것으로 예상되나, 일부 지역의 주택가 이면도로, 보도 등의 제설이 필요하고 결빙지역에 대한 민원처리가 필요한 것으로 판단되어



            2. 2012.12.08(토) 09:00부로 제설대책 1단계 근무를 해제하고 보강근무로 전환 하오니 각 제설기관에서는 단계별 근무조치 기준에 따라 근무에 임할 수 있도록 조치하여 주시기 바라며, 지하철 및 지하도상가 출입구, 횡단보도, 고갯길, 고가차도 등 취약지역에 대한 제설작업을 철저히 시행하여 시민불편이 없도록 조치하시기 바랍니다.

"
2012-12-21,2012,12,21,1200,1단계,기상예보에 따른 제설대책 1단계 상향근무 지시,"             1. 2012. 12. 21. 12:00  기상청 일기예보에 의하면  내일 0시 이후 서울지방 강수확률이 60, 기온이 -1℃이며 예상적설량이 1~4cm로 예보되어 2012-12-21 12:25부로 제설대책 1단계 근무를 발령하니 각 제설 기관 및 관련부서에서는 단계 근무에 만전을 기하여 주시기 바라며, 



             2. 각 제설기관에서는 즉시 제설삽날 및 살포기 장착하고 제설재를 상차하여, 주요간선도로, 램프, 언덕길 등 취약지점의 주요 목 지점에 배치하여 주시고, 강설시작과 동시에 제설재를 살포(필요시 제한적으로 사전살포)하여 주시기 바랍니다.    끝."
2013-01-11,2013,1,11,2100,1단계,제설대책 보강 근무 및 1단계 근무 지시(2013.01.11),"            1. 2013.01.11(금) 17:00 기상청 예보에 의하면 2013.01.11(금) 21:00이후 강수확률 30 기온 -2℃ 이하 이며, 24:00 이후 강수확률 60 예상적설량 1~4cm 눈이 내릴 것으로 예보되고 있어

            2. 2013.01.11(금) 18:00부로 제설대책 보강근무 및 21:00부로 제설대책 1단계 근무를 지시 하오니 각 제설기관 및 관련부서에서는 제설대책 비상기준에 따라 근무에 임하여 주시기 바라며 제설장비 가동 및 자재 배치 여부를 점검하여 강설시 초동제설에 문제가 없도록 사전대비에 철저를 기하여 주시기 바랍니다.  끝.

"
2013-01-12,2013,1,12,900,발령해제,제설작업 근무 해제(평상시근무로 전환),"          1. 2013.01.12(토) 08:00 기상청 일기예보에 의하면 09:00시 이후 서울지방 강수확률 20, 낮 기온이 영상으로 오를 것으로 예보되어 2013.01.12(토) 09:00시 부로 제설대책 1단계 근무를 해제하오니 각 제설기관(부서)에서는 평상시 근무로 전환하시기 바라며



          2. 언덕길, 횡단보도, 지하철 진출입, 버스승강장 주변 등의 도로 결빙구간과 제설작업이 부족한 골목길, 보도 등에 대한 제설 및 제빙작업을 시행하여 안전사고 예방에 철저를 기하여 주시기 바랍니다.  끝.

"
2013-01-21,2013,1,21,0,1단계,기상예보에 따른 제설대책 1단계근무 지시,"             1. 2013.01.20(일) 20:00 기상청 예보에 의하면 2013.01.21(월) 03:00이후 강수확률 60, 기온 2℃ 이하 이며, 오전까지 예상적설량 1~4cm 눈이 내릴 것으로 예보되고 있고 낮동안 눈/비가 오다 저녁 늦게까지 최고 10cm의 눈이 내릴것으로 예보되고 있어

            2. 2013.01.21(월) 00:00부로 제설대책 1단계 근무를 지시 하오니 각 제설기관 및 관련부서에서는 출근시간대 강설 및 폭설에 대비하여 제설재 상차후 작업노선 배치 등 사전준비에 철저를 기하여 주시기 바랍니다.

              ○ 제설삽날 사전부착(청소차량 등)

              ○ 제설작업 노선별 제설장비 사전배치

              ○ 전진기지 제설장비 및 자재 사전배치

              ○ 내 집앞 눈치우기 및 대중교통이용 홍보 등

   ※ 제설현장관리시스템 입력대상 기관에서는 2013. 1.21(월) 01:00까지 자원입력 바람. 끝.

"
2013-01-23,2013,1,23,1530,발령해제,제설작업 근무 해제(평상시근무로 전환) 및 보강근무 발령 예고,"            1. 2013.01.23(수) 14:00 기상청 예보에 의하면 현재 기온이 영상이며, 2013.01.24(목) 03:00이후 강수확률 30, 기온 -1℃ 이하, 예상적설량 1cm미만의 눈이 내릴 것으로 예보되고 있어

            2. 2013.01.23(수) 15:30부로 제설대책 보강근무를 해제(평시 근무체계 전환) 하고, 2013.01.24(목)00:00부로 제설대책 보강근무를 발령예고 하오니 각 제설기관 및 관련부서에서는 제설대책 비상발령 즉시 비상근무에 임할 수 있도록 조치하여 주시기 바랍니다.  끝.

"
2013-01-24,2013,1,24,0,보강,제설대책 보강근무 지시,"            1. 2013. 1.23(수) 23:00 기상청 예보에 의하면 2013. 1.24(목) 03:00이후 강수확률 30, 기온 -1℃ 이하 이며, 예상적설량 1cm미만의 눈이 내릴 것으로 예보되고 있어

            2. 2013. 1.24(목) 00:00부로 제설대책 보강근무를 지시 하오니 각 제설기관 및 관련부서에서는 제설대책 비상기준에 따라 근무에 임하여 주시기 바랍니다.

            3. 아울러 내일 아침 6시부터 강설이 예고되고 있으니, 6개 도로사업소 및 시설공단에서는 만약의 사태에 대비하여 전 제설차량의 조종원들이 동원될 수 있도록 연락망을 확인하시기 바랍니다.     

※ 제설현장관리시스템 입력대상 기관에서는 2013. 1.24(목) 02:00까지 자원입력 바람.  끝.

"
